counter;filename;heuristic;rpd
0;mknap1_1.txt;SimulatedAnnealing;0.0
1;mknap1_1.txt;SimulatedAnnealing;0.0
2;mknap1_1.txt;SimulatedAnnealing;0.0
3;mknap1_1.txt;SimulatedAnnealing;0.0
4;mknap1_1.txt;SimulatedAnnealing;0.0
5;mknap1_1.txt;SimulatedAnnealing;0.0
6;mknap1_1.txt;SimulatedAnnealing;0.0
0;mknap1_2.txt;SimulatedAnnealing;0.0
1;mknap1_2.txt;SimulatedAnnealing;0.002136433075659583
2;mknap1_2.txt;SimulatedAnnealing;0.0
3;mknap1_2.txt;SimulatedAnnealing;0.0
4;mknap1_2.txt;SimulatedAnnealing;0.0
5;mknap1_2.txt;SimulatedAnnealing;0.0
6;mknap1_2.txt;SimulatedAnnealing;0.0
0;mknap1_3.txt;SimulatedAnnealing;0.00498132004981322
1;mknap1_3.txt;SimulatedAnnealing;0.0
2;mknap1_3.txt;SimulatedAnnealing;0.0
3;mknap1_3.txt;SimulatedAnnealing;0.00498132004981322
4;mknap1_3.txt;SimulatedAnnealing;0.016189290161892855
5;mknap1_3.txt;SimulatedAnnealing;0.02490660024906599
6;mknap1_3.txt;SimulatedAnnealing;0.0
0;mknap1_4.txt;SimulatedAnnealing;0.0032679738562091387
1;mknap1_4.txt;SimulatedAnnealing;0.009803921568627416
2;mknap1_4.txt;SimulatedAnnealing;0.0
3;mknap1_4.txt;SimulatedAnnealing;0.004901960784313708
4;mknap1_4.txt;SimulatedAnnealing;0.02941176470588236
5;mknap1_4.txt;SimulatedAnnealing;0.0
6;mknap1_4.txt;SimulatedAnnealing;0.0
0;mknap1_5.txt;SimulatedAnnealing;0.04354838709677422
1;mknap1_5.txt;SimulatedAnnealing;0.02661290322580645
2;mknap1_5.txt;SimulatedAnnealing;0.08387096774193548
3;mknap1_5.txt;SimulatedAnnealing;0.012903225806451646
4;mknap1_5.txt;SimulatedAnnealing;0.18709677419354842
5;mknap1_5.txt;SimulatedAnnealing;0.07903225806451608
6;mknap1_5.txt;SimulatedAnnealing;0.007258064516128981
0;mknap1_6.txt;SimulatedAnnealing;0.030137502354492418
1;mknap1_6.txt;SimulatedAnnealing;0.01666980598982859
2;mknap1_6.txt;SimulatedAnnealing;0.019118478056131094
3;mknap1_6.txt;SimulatedAnnealing;0.009512149180636698
4;mknap1_6.txt;SimulatedAnnealing;0.04859672254661895
5;mknap1_6.txt;SimulatedAnnealing;0.010642305518930084
6;mknap1_6.txt;SimulatedAnnealing;0.023827462799020482
0;mknap1_7.txt;SimulatedAnnealing;0.044203906391727665
1;mknap1_7.txt;SimulatedAnnealing;0.16036766039789563
2;mknap1_7.txt;SimulatedAnnealing;0.017778315292979352
3;mknap1_7.txt;SimulatedAnnealing;0.06887585414524999
4;mknap1_7.txt;SimulatedAnnealing;0.060349519259841555
5;mknap1_7.txt;SimulatedAnnealing;0.015178085505230698
6;mknap1_7.txt;SimulatedAnnealing;0.057023643949930425
0;mknap1_1.txt;GeneticAlgorithm;0.0
1;mknap1_1.txt;GeneticAlgorithm;0.0
2;mknap1_1.txt;GeneticAlgorithm;0.0
3;mknap1_1.txt;GeneticAlgorithm;0.0
4;mknap1_1.txt;GeneticAlgorithm;0.0
5;mknap1_1.txt;GeneticAlgorithm;0.0
6;mknap1_1.txt;GeneticAlgorithm;0.0
0;mknap1_2.txt;GeneticAlgorithm;0.0
1;mknap1_2.txt;GeneticAlgorithm;0.0
2;mknap1_2.txt;GeneticAlgorithm;0.0
3;mknap1_2.txt;GeneticAlgorithm;0.0
4;mknap1_2.txt;GeneticAlgorithm;0.0
5;mknap1_2.txt;GeneticAlgorithm;0.0
6;mknap1_2.txt;GeneticAlgorithm;0.0
0;mknap1_3.txt;GeneticAlgorithm;0.0
1;mknap1_3.txt;GeneticAlgorithm;0.0
2;mknap1_3.txt;GeneticAlgorithm;0.0
3;mknap1_3.txt;GeneticAlgorithm;0.0
4;mknap1_3.txt;GeneticAlgorithm;0.0
5;mknap1_3.txt;GeneticAlgorithm;0.0
6;mknap1_3.txt;GeneticAlgorithm;0.0
0;mknap1_4.txt;GeneticAlgorithm;0.0
1;mknap1_4.txt;GeneticAlgorithm;0.0
2;mknap1_4.txt;GeneticAlgorithm;0.0
3;mknap1_4.txt;GeneticAlgorithm;0.0
4;mknap1_4.txt;GeneticAlgorithm;0.0
5;mknap1_4.txt;GeneticAlgorithm;0.0
6;mknap1_4.txt;GeneticAlgorithm;0.0
0;mknap1_5.txt;GeneticAlgorithm;0.0
1;mknap1_5.txt;GeneticAlgorithm;0.003225806451612856
2;mknap1_5.txt;GeneticAlgorithm;0.005645161290322553
3;mknap1_5.txt;GeneticAlgorithm;0.04435483870967738
4;mknap1_5.txt;GeneticAlgorithm;0.0
5;mknap1_5.txt;GeneticAlgorithm;0.001612903225806428
6;mknap1_5.txt;GeneticAlgorithm;0.0
0;mknap1_6.txt;GeneticAlgorithm;0.007440195893765322
1;mknap1_6.txt;GeneticAlgorithm;0.01648144660011297
2;mknap1_6.txt;GeneticAlgorithm;0.009229610096063268
3;mknap1_6.txt;GeneticAlgorithm;0.022320587681295967
